ID,Đại lý,Tên viết tắt,Phân loại đại lý,Đại lý mẹ,Tỉnh/Thành phố,Quận huyện,Địa chỉ,Quản lý,Có hiệu lực/Vô hiệu lực
1,CÔNG TY TNHH GAS PHÚ LỢI,ĐL-001CÔNG TY TNHH GAS PHÚ LỢI,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"656/39  Khu tái định cư Phú Hòa, KP.9, Phường Phú Hòa",salesbd,Có hiệu lực
2,CÔNG TY TRÁCH NHIỆM HỮU HẠN GAS TÂN BÌNH,ĐL-002CÔNG TY TRÁCH NHIỆM HỮU HẠN GAS TÂN BÌNH,Đại lý tổng,,Tỉnh Bình Phước,Thành phố Đồng Xoài,"Tổ 2, KP Tân BÌnh, Phường Tân Bình",,Có hiệu lực
3,CÔNG TY TNHH DẦU KHÍ ĐÔNG HÒA,ĐL-003CÔNG TY TNHH DẦU KHÍ ĐÔNG HÒA,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Dĩ An,"SỐ 3/11, KP.Tân Hòa, P.Đông Hòa",,Có hiệu lực
4,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI - DỊCH VỤ VĂN THANH,ĐL-004CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI - DỊCH VỤ VĂN THANH,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Số 110, Đường DT 744 , ấp An Thanh , Xã An Tây",salesbd,Có hiệu lực
5,Công ty TNHH Một Thành Viên Gas Mỹ Phước,ĐL-005Công ty TNHH Một Thành Viên Gas Mỹ Phước,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Số 547, KP 1, KP.Mỹ Phước",salesbd,Có hiệu lực
6,CÔNG TY TRÁCH NHIỆM HỮU HẠN DẦU KHÍ NAM BÌNH DƯƠNG,ĐL-006CÔNG TY TRÁCH NHIỆM HỮU HẠN DẦU KHÍ NAM BÌNH DƯƠNG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"Số 150B7, Trần Bình Trọng, Phường Phú Thọ",,Có hiệu lực
7,Công Ty TNHH TM Sản Xuất Trường An Vinh,ĐL-007Công Ty TNHH TM Sản Xuất Trường An Vinh,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,"F11/11 Võ Hữu Lợi, Tổ 11, ấp 6, Xã Lê Minh Xuân",saleshcm,Có hiệu lực
8,Cửa Hàng Bán Lẻ LPG Chai Kim Thoa,ĐL-008Cửa Hàng Bán Lẻ LPG Chai Kim Thoa,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 12,"596 Tô Ký, Tổ 25, Phường Tân Chánh Hiệp  ",,Có hiệu lực
9,Cửa Hàng Bán Lẻ LPG Chai Minh Hùng,ĐL-009Cửa Hàng Bán Lẻ LPG Chai Minh Hùng,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,"522 Hương Lộ 2 , KP.2, P.Bình Trị Đông",,Có hiệu lực
10,Cửa Hàng Bán Lẻ LPG Chai Anh Quang,ĐL-010Cửa Hàng Bán Lẻ LPG Chai Anh Quang,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 7,"7/6 Đường số 15, P.Tân Kiểng ",,Có hiệu lực
11,Cửa Hàng Bán Lẻ LPG Chai Phú Hưng,ĐL-011Cửa Hàng Bán Lẻ LPG Chai Phú Hưng,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Nhà Bè,"510B Huỳnh Tấn Phát, âp 3, Xã Phú Xuân,",saleshcm,Có hiệu lực
12,Cửa Hàng Bán Lẻ LPG Chai Kim Hồng,ĐL-012Cửa Hàng Bán Lẻ LPG Chai Kim Hồng,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 4,"92 B/2A Tôn Thất Thuyết , Phường 16",,Có hiệu lực
13,Cửa Hàng Bán Lẻ LPG Chai Trần Văn Bông ( Gas 48),ĐL-013Cửa Hàng Bán Lẻ LPG Chai Trần Văn Bông ( Gas 48),Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"48 Liên Tỉnh 5, Phường 6",,Có hiệu lực
14,Cửa Hàng Bán Lẻ LPG Chai Gas Anh Quân Petro,ĐL-014Cửa Hàng Bán Lẻ LPG Chai Gas Anh Quân Petro,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"T1/16M , KP Bình Thuận 2, P. Thuận Giao",salesbd,Có hiệu lực
